103106,[['Ngữ văn', '9'], ['Toán', '9'], ['Tiếng Anh', '9.38'], ['KHTN', '6.1'], ['LS&&ĐL', '4.5'], ['Tổng các môn', '37.98'], ['Tổng Toán, Văn, Anh', '27.38']]
041056,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.06'], ['KHTN', '7.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.81'], ['Tổng Toán, Văn, Anh', '27.31']]
148067,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.06'], ['KHTN', '7.5'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '41.56'], ['Tổng Toán, Văn, Anh', '27.31']]
227014,[['Ngữ văn', '8.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.06'], ['KHTN', '6'], ['LS&&ĐL', '6'], ['Tổng các môn', '39.31'], ['Tổng Toán, Văn, Anh', '27.31']]
151063,[['Ngữ văn', '8.5'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '10'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '45.75'], ['Tổng Toán, Văn, Anh', '27.25']]
177034,[['Ngữ văn', '8.75'], ['Toán', '9.75'], ['Tiếng Anh', '8.75'], ['KHTN', '8.25'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '44.00'], ['Tổng Toán, Văn, Anh', '27.25']]
028091,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '10'], ['KHTN', '8.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.75'], ['Tổng Toán, Văn, Anh', '27.25']]
132040,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '10'], ['KHTN', '9.5'], ['LS&&ĐL', '6'], ['Tổng các môn', '42.75'], ['Tổng Toán, Văn, Anh', '27.25']]
185009,[['Ngữ văn', '8.25'], ['Toán', '9'], ['Tiếng Anh', '10'], ['KHTN', '6'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '40.75'], ['Tổng Toán, Văn, Anh', '27.25']]
002068,[['Ngữ văn', '8.75'], ['Toán', '9.75'], ['Tiếng Anh', '8.75'], ['KHTN', '5.35'], ['LS&&ĐL', '7.1'], ['Tổng các môn', '39.70'], ['Tổng Toán, Văn, Anh', '27.25']]
080109,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '10'], ['LS&&ĐL', '7.75'], ['Tổng các môn', '44.94'], ['Tổng Toán, Văn, Anh', '27.19']]
170032,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '8.25'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '27.19']]
069030,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '9'], ['LS&&ĐL', '7.6'], ['Tổng các môn', '43.79'], ['Tổng Toán, Văn, Anh', '27.19']]
138004,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '8.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '27.19']]
004068,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '9'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '42.94'], ['Tổng Toán, Văn, Anh', '27.19']]
024288,[['Ngữ văn', '8'], ['Toán', '9.5'], ['Tiếng Anh', '9.69'], ['KHTN', '9'], ['LS&&ĐL', '5.5'], ['Tổng các môn', '41.69'], ['Tổng Toán, Văn, Anh', '27.19']]
