010009, [['Ngữ văn', '1.5'], ['Toán', '5'], ['Tiếng Anh', '7.19'], ['KHTN', '5.25'], ['LS&&ĐL', '4.5']]
160009, [['Ngữ văn', '4.75'], ['Toán', '6.75'], ['Tiếng Anh', '5.63'], ['KHTN', '6.1'], ['LS&&ĐL', '5.35']]
110009, [['Ngữ văn', '4.75'], ['Toán', '5.35'], ['Tiếng Anh', '5'], ['KHTN', '3'], ['LS&&ĐL', '4.35']]
060009, [['Ngữ văn', '6'], ['Toán', '6.35'], ['Tiếng Anh', '5'], ['KHTN', '7'], ['LS&&ĐL', '5.5']]
210010, [['Ngữ văn', '4.25'], ['Toán', '5.35'], ['Tiếng Anh', '2.81'], ['KHTN', '4.75'], ['LS&&ĐL', '3.5']]
110010, [['Ngữ văn', '5.75'], ['Toán', '5.35'], ['Tiếng Anh', '5.94'], ['KHTN', '5.25'], ['LS&&ĐL', '2.85']]
010010, [['Ngữ văn', '5.25'], ['Toán', '7.75'], ['Tiếng Anh', '7.5'], ['KHTN', '6.5'], ['LS&&ĐL', '7.5']]
160010, [['Ngữ văn', '6.75'], ['Toán', '6.35'], ['Tiếng Anh', '4.06'], ['KHTN', '6.1'], ['LS&&ĐL', '4.85']]
060010, [['Ngữ văn', '4.5'], ['Toán', '6.5'], ['Tiếng Anh', '5.31'], ['KHTN', '6.5'], ['LS&&ĐL', '5.5']]
210011, [['Ngữ văn', '2.25'], ['Toán', '3'], ['Tiếng Anh', '4.69'], ['KHTN', '4.1'], ['LS&&ĐL', '2.25']]
010011, [['Ngữ văn', '6.75'], ['Toán', '8.75'], ['Tiếng Anh', '8.13'], ['KHTN', '6.5'], ['LS&&ĐL', '7.5']]
160011, [['Ngữ văn', '7'], ['Toán', '7'], ['Tiếng Anh', '6.56'], ['KHTN', '6.6'], ['LS&&ĐL', '4.6']]
110011, [['Ngữ văn', '5.25'], ['Toán', '8.75'], ['Tiếng Anh', '8.44'], ['KHTN', '7.5'], ['LS&&ĐL', '6.35']]
060011, [['Ngữ văn', '4.5'], ['Toán', '3.5'], ['Tiếng Anh', '3.44'], ['KHTN', '3.85'], ['LS&&ĐL', '5.75']]
010012, [['Ngữ văn', '6.75'], ['Toán', '8.25'], ['Tiếng Anh', '7.19'], ['KHTN', '6.5'], ['LS&&ĐL', '6.5']]
210012, [['Ngữ văn', '2.5'], ['Toán', '4.75'], ['Tiếng Anh', '5.31'], ['KHTN', '4.25'], ['LS&&ĐL', '4.5']]
160012, [['Ngữ văn', '4.75'], ['Toán', '5.5'], ['Tiếng Anh', '4.38'], ['KHTN', '7'], ['LS&&ĐL', '4.85']]
110012, [['Ngữ văn', '4.75'], ['Toán', '8'], ['Tiếng Anh', '5.31'], ['KHTN', '4.1'], ['LS&&ĐL', '6']]
060012, [['Ngữ văn', '3.25'], ['Toán', '5.75'], ['Tiếng Anh', '5.63'], ['KHTN', '7'], ['LS&&ĐL', '6.85']]
010013, [['Ngữ văn', '5.75'], ['Toán', '6'], ['Tiếng Anh', '6.56'], ['KHTN', '5.5'], ['LS&&ĐL', '5.25']]
160013, [['Ngữ văn', '5.75'], ['Toán', '5.75'], ['Tiếng Anh', '5.31'], ['KHTN', '4.35'], ['LS&&ĐL', '4.25']]
110013, [['Ngữ văn', '4.75'], ['Toán', '9.25'], ['Tiếng Anh', '6.88'], ['KHTN', '6.5'], ['LS&&ĐL', '5.5']]
210013, [['Ngữ văn', '3.75'], ['Toán', '4.75'], ['Tiếng Anh', '5'], ['KHTN', '5.5'], ['LS&&ĐL', '4.75']]
060013, [['Ngữ văn', '3.5'], ['Toán', '3.25'], ['Tiếng Anh', '2.19'], ['KHTN', '5.1'], ['LS&&ĐL', '5']]
010014, [['Ngữ văn', '6'], ['Toán', '6'], ['Tiếng Anh', '8.13'], ['KHTN', '6'], ['LS&&ĐL', '5']]
160014, [['Ngữ văn', '5.25'], ['Toán', '4.5'], ['Tiếng Anh', '3.75'], ['KHTN', '1.75'], ['LS&&ĐL', '2.5']]
210014, [['Ngữ văn', '3.5'], ['Toán', '5.75'], ['Tiếng Anh', '6.56'], ['KHTN', '4.6'], ['LS&&ĐL', '6.5']]
110014, [['Ngữ văn', '4'], ['Toán', '6.5'], ['Tiếng Anh', '3.44'], ['KHTN', '5'], ['LS&&ĐL', '6.25']]
060014, [['Ngữ văn', '5.5'], ['Toán', '5.75'], ['Tiếng Anh', '3.13'], ['KHTN', '6'], ['LS&&ĐL', '3.85']]
010015, [['Ngữ văn', '6.5'], ['Toán', '6.75'], ['Tiếng Anh', '7.5'], ['KHTN', '5.1'], ['LS&&ĐL', '6']]
160015, [['Ngữ văn', '4.5'], ['Toán', '3.25'], ['Tiếng Anh', '5'], ['KHTN', '4.7'], ['LS&&ĐL', '4']]
110015, [['Ngữ văn', '5'], ['Toán', '9.75'], ['Tiếng Anh', '7.5'], ['KHTN', '7'], ['LS&&ĐL', '7.5']]
210015, [['Ngữ văn', '2.75'], ['Toán', '6'], ['Tiếng Anh', '0.94'], ['KHTN', '3.85'], ['LS&&ĐL', '5.25']]
060015, [['Ngữ văn', '4.5'], ['Toán', '6'], ['Tiếng Anh', '5.63'], ['KHTN', '1.85'], ['LS&&ĐL', '5.1']]
010016, [['Ngữ văn', '3.25'], ['Toán', '7.5'], ['Tiếng Anh', '5.94'], ['KHTN', '5.25'], ['LS&&ĐL', '6']]
210016, [['Ngữ văn', '5.25'], ['Toán', '6'], ['Tiếng Anh', '5.63'], ['KHTN', '6.5'], ['LS&&ĐL', '5']]
110016, [['Ngữ văn', '6.25'], ['Toán', '9.5'], ['Tiếng Anh', '7.19'], ['KHTN', '7.75'], ['LS&&ĐL', '5.1']]
160016, [['Ngữ văn', '4.25'], ['Toán', '3.1'], ['Tiếng Anh', '4.06'], ['KHTN', '4.7'], ['LS&&ĐL', '4']]
060016, [['Ngữ văn', '3.75'], ['Toán', '5.85'], ['Tiếng Anh', '5.63'], ['KHTN', '7'], ['LS&&ĐL', '3']]
010017, [['Ngữ văn', '2.5'], ['Toán', '7.5'], ['Tiếng Anh', '6.25'], ['KHTN', '5.25'], ['LS&&ĐL', '6']]
160017, [['Ngữ văn', '5'], ['Toán', '3.75'], ['Tiếng Anh', '5.63'], ['KHTN', '4.1'], ['LS&&ĐL', '4.5']]
