001042,[['Ngữ văn', '6.5'], ['Toán', '10'], ['Tiếng Anh', '8.44'], ['KHTN', '8'], ['LS&&ĐL', '3.75']]
001043,[['Ngữ văn', '4.5'], ['Toán', '7.75'], ['Tiếng Anh', '9.06'], ['KHTN', '5.6'], ['LS&&ĐL', '4.5']]
001044,[['Ngữ văn', '5.5'], ['Toán', '6'], ['Tiếng Anh', '6.25'], ['KHTN', '6.75'], ['LS&&ĐL', '6.25']]
001045,[['Ngữ văn', '7'], ['Toán', '9.5'], ['Tiếng Anh', '7.81'], ['KHTN', '6.75'], ['LS&&ĐL', '7']]
001046,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.69'], ['KHTN', '7.75'], ['LS&&ĐL', '8.5']]
001047,[['Ngữ văn', '6.5'], ['Toán', '9'], ['Tiếng Anh', '6.56'], ['KHTN', '5.75'], ['LS&&ĐL', '6.1']]
001048,[['Ngữ văn', '4.25'], ['Toán', '5.5'], ['Tiếng Anh', '6.25'], ['KHTN', '5.85'], ['LS&&ĐL', '5.6']]
001049,[['Ngữ văn', '4.25'], ['Toán', '6.5'], ['Tiếng Anh', '7.5'], ['KHTN', '5.5'], ['LS&&ĐL', '6.5']]
001050,[['Ngữ văn', '7'], ['Toán', '5.5'], ['Tiếng Anh', '5.31'], ['KHTN', '5.75'], ['LS&&ĐL', '6.5']]
001051,[['Ngữ văn', '5.25'], ['Toán', '6.25'], ['Tiếng Anh', '4.38'], ['KHTN', '5.35'], ['LS&&ĐL', '5.75']]
001052,[['Ngữ văn', '7.25'], ['Toán', '8.25'], ['Tiếng Anh', '6.25'], ['KHTN', '7.5'], ['LS&&ĐL', '7.5']]
001053,[['Ngữ văn', '4.5'], ['Toán', '8'], ['Tiếng Anh', '6.88'], ['KHTN', '7'], ['LS&&ĐL', '5']]
001054,[['Ngữ văn', '6.25'], ['Toán', '7.25'], ['Tiếng Anh', '8.13'], ['KHTN', '4.75'], ['LS&&ĐL', '7.5']]
001055,[['Ngữ văn', '5.25'], ['Toán', '7.75'], ['Tiếng Anh', '8.44'], ['KHTN', '4.25'], ['LS&&ĐL', '6']]
001056,[['Ngữ văn', '7.5'], ['Toán', '7.5'], ['Tiếng Anh', '9.38'], ['KHTN', '6.25'], ['LS&&ĐL', '8']]
001057,[['Ngữ văn', '4.75'], ['Toán', '6.75'], ['Tiếng Anh', '4.69'], ['KHTN', '8'], ['LS&&ĐL', '5.5']]
001058,[['Ngữ văn', '6'], ['Toán', '8.5'], ['Tiếng Anh', '8.13'], ['KHTN', '8.5'], ['LS&&ĐL', '6']]
001059,[['Ngữ văn', '6.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '8'], ['LS&&ĐL', '6']]
001060,[['Ngữ văn', '5.25'], ['Toán', '8.75'], ['Tiếng Anh', '4.38'], ['KHTN', '6.25'], ['LS&&ĐL', '5']]
001061,[['Ngữ văn', '6'], ['Toán', '8.5'], ['Tiếng Anh', '9.38'], ['KHTN', '6.75'], ['LS&&ĐL', '5.5']]
002001,[['Ngữ văn', '3.25'], ['Toán', '3.85'], ['Tiếng Anh', '4.06'], ['KHTN', '2.5'], ['LS&&ĐL', '2.1']]
002002,[['Ngữ văn', '5.25'], ['Toán', '6.25'], ['Tiếng Anh', '5'], ['KHTN', '3.5'], ['LS&&ĐL', '5.5']]
002003,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '8.13'], ['KHTN', '4.5'], ['LS&&ĐL', '6']]
002004,[['Ngữ văn', '8.25'], ['Toán', '9.75'], ['Tiếng Anh', '6.25'], ['KHTN', '4.5'], ['LS&&ĐL', '6']]
002005,[['Ngữ văn', '4.5'], ['Toán', '5.5'], ['Tiếng Anh', '4.38'], ['KHTN', '3.35'], ['LS&&ĐL', '3.6']]
002006,[['Ngữ văn', '4'], ['Toán', '5.6'], ['Tiếng Anh', '7.19'], ['KHTN', '4.75'], ['LS&&ĐL', '3.75']]
002007,[['Ngữ văn', '7'], ['Toán', '8.75'], ['Tiếng Anh', '8.44'], ['KHTN', '6.6'], ['LS&&ĐL', '3.6']]
002008,[['Ngữ văn', '6.25'], ['Toán', '8.25'], ['Tiếng Anh', '6.25'], ['KHTN', '4.5'], ['LS&&ĐL', '3.85']]
002009,[['Ngữ văn', '2.5'], ['Toán', '7.5'], ['Tiếng Anh', '4.38'], ['KHTN', '5.5'], ['LS&&ĐL', '4.85']]
002010,[['Ngữ văn', '4.75'], ['Toán', '7.5'], ['Tiếng Anh', '5.63'], ['KHTN', '5.75'], ['LS&&ĐL', '5.25']]
002011,[['Ngữ văn', '4'], ['Toán', '5'], ['Tiếng Anh', '5.94'], ['KHTN', '5.75'], ['LS&&ĐL', '6.5']]
002012,[['Ngữ văn', '4'], ['Toán', '6.25'], ['Tiếng Anh', '5.63'], ['KHTN', '6.35'], ['LS&&ĐL', '4.85']]
002013,[['Ngữ văn', '7.25'], ['Toán', '7.5'], ['Tiếng Anh', '7.19'], ['KHTN', '7'], ['LS&&ĐL', '6.35']]
